cycle chargeConsumedActive chargeConsumedIdle packetsgenerated PacketsReachedTheDAGROOT droppedNoRoute droppedNoTxCells droppedQueueFull droppedMacRetries idleListening AverageQueueDelay numTx numRxCells numTxCells aveHops
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
2 0 0 0 0 0 0 0 0 0 0 0 0 1 0
3 64.82 0 1 0 0 0 0 0 0 0 1 0 1 0
4 129.64 0 1 0 0 0 0 0 0 0 2 0 1 0
5 194.45999999999998 0 1 0 0 0 0 0 0 0 3 0 1 0
6 259.28 0 1 0 0 0 0 0 0 0 4 0 1 0
7 324.09999999999997 0 1 0 0 0 0 0 0 0 5 0 1 0
8 388.91999999999996 0 1 0 0 0 0 0 0 0 6 0 1 0
9 453.73999999999995 0 1 0 0 0 0 0 0 0 7 0 1 0
10 518.56 0 1 0 0 0 0 0 0 0 8 0 1 0
11 583.3799999999999 0 1 0 0 0 0 0 0 0 9 0 1 0
12 648.1999999999998 0 1 0 0 0 0 0 0 0 10 0 1 0
13 713.0199999999998 0 1 0 0 0 0 0 0 0 11 0 1 0
14 777.8399999999997 0 1 0 0 0 0 0 0 0 12 0 1 0
15 842.6599999999996 0 1 0 0 0 0 0 0 0 13 0 1 0
16 907.4799999999996 0 1 0 0 0 0 0 0 0 14 0 1 0
17 972.2999999999995 0 1 0 0 0 0 0 0 0 15 0 1 0
18 1037.1199999999994 0 1 0 0 0 0 0 0 0 16 0 1 0
